handleId,fieldType,name,description,productImageUrl,collection,sku,ribbon,price,surcharge,visible,discountMode,discountValue,inventory,weight,cost,productOptionName1,productOptionType1,productOptionDescription1,productOptionName2,productOptionType2,productOptionDescription2,productOptionName3,productOptionType3,productOptionDescription3,productOptionName4,productOptionType4,productOptionDescription4,productOptionName5,productOptionType5,productOptionDescription5,productOptionName6,productOptionType6,productOptionDescription6,additionalInfoTitle1,additionalInfoDescription1,additionalInfoTitle2,additionalInfoDescription2,additionalInfoTitle3,additionalInfoDescription3,additionalInfoTitle4,additionalInfoDescription4,additionalInfoTitle5,additionalInfoDescription5,additionalInfoTitle6,additionalInfoDescription6,customTextField1,customTextCharLimit1,customTextMandatory1,customTextField2,customTextCharLimit2,customTextMandatory2,brand
aged_to_perfection,Variant,,,,,,,,,True,,,InStock,,,,,1931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aged_to_perfection,Variant,,,,,,,,,True,,,InStock,,,,,1932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aged_to_perfection,Variant,,,,,,,,,True,,,InStock,,,,,1933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aged_to_perfection,Variant,,,,,,,,,True,,,InStock,,,,,1934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aged_to_perfection,Variant,,,,,,,,,True,,,InStock,,,,,1935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aged_to_perfection,Variant,,,,,,,,,True,,,InStock,,,,,1936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aged_to_perfection,Variant,,,,,,,,,True,,,InStock,,,,,1937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aged_to_perfection,Variant,,,,,,,,,True,,,InStock,,,,,1938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aged_to_perfection,Variant,,,,,,,,,True,,,InStock,,,,,1939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aged_to_perfection,Variant,,,,,,,,,True,,,InStock,,,,,1940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aged_to_perfection,Variant,,,,,,,,,True,,,InStock,,,,,1941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aged_to_perfection,Variant,,,,,,,,,True,,,InStock,,,,,1942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aged_to_perfection,Variant,,,,,,,,,True,,,InStock,,,,,1943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aged_to_perfection,Variant,,,,,,,,,True,,,InStock,,,,,1944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aged_to_perfection,Variant,,,,,,,,,True,,,InStock,,,,,1945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aged_to_perfection,Variant,,,,,,,,,True,,,InStock,,,,,1946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
