handleId,fieldType,name,description,productImageUrl,collection,sku,price,inventory,weight,visible,ribbon,surcharge,discountMode,discountValue,productOptionName,productOptionType,productOptionDescription,additionalInfoTitle,Additional info description,customTextField,customTextCharLimit,customTextMandatory
affirmations_24,Product,I am whole bl,"Laser engraving on a 10cm x 15cm (4"" x 6"") piece of wood.",https://iandouglasllc-engraver.herokuapp.com/img/affirmations/affirmations_24.jpg,affirmations,affirmations_24,3.99,InStock,0.25,TRUE,,,,,,,,,,,,
affirmations_25,Product,I am worthy bl,"Laser engraving on a 10cm x 15cm (4"" x 6"") piece of wood.",https://iandouglasllc-engraver.herokuapp.com/img/affirmations/affirmations_25.jpg,affirmations,affirmations_25,3.99,InStock,0.25,TRUE,,,,,,,,,,,,
affirmations_26,Product,I choose to fill,"Laser engraving on a 10cm x 15cm (4"" x 6"") piece of wood.",https://iandouglasllc-engraver.herokuapp.com/img/affirmations/affirmations_26.jpg,affirmations,affirmations_26,3.99,InStock,0.25,TRUE,,,,,,,,,,,,
affirmations_27,Product,I express my bl,"Laser engraving on a 10cm x 15cm (4"" x 6"") piece of wood.",https://iandouglasllc-engraver.herokuapp.com/img/affirmations/affirmations_27.jpg,affirmations,affirmations_27,3.99,InStock,0.25,TRUE,,,,,,,,,,,,
affirmations_28,Product,I forgive the past,"Laser engraving on a 10cm x 15cm (4"" x 6"") piece of wood.",https://iandouglasllc-engraver.herokuapp.com/img/affirmations/affirmations_28.jpg,affirmations,affirmations_28,3.99,InStock,0.25,TRUE,,,,,,,,,,,,
affirmations_29,Product,I have a purpose,"Laser engraving on a 10cm x 15cm (4"" x 6"") piece of wood.",https://iandouglasllc-engraver.herokuapp.com/img/affirmations/affirmations_29.jpg,affirmations,affirmations_29,3.99,InStock,0.25,TRUE,,,,,,,,,,,,
affirmations_30,Product,I have abundant energy,"Laser engraving on a 10cm x 15cm (4"" x 6"") piece of wood.",https://iandouglasllc-engraver.herokuapp.com/img/affirmations/affirmations_30.jpg,affirmations,affirmations_30,3.99,InStock,0.25,TRUE,,,,,,,,,,,,
affirmations_31,Product,I have all that ,"Laser engraving on a 10cm x 15cm (4"" x 6"") piece of wood.",https://iandouglasllc-engraver.herokuapp.com/img/affirmations/affirmations_31.jpg,affirmations,affirmations_31,3.99,InStock,0.25,TRUE,,,,,,,,,,,,
affirmations_32,Product,I honor the bl,"Laser engraving on a 10cm x 15cm (4"" x 6"") piece of wood.",https://iandouglasllc-engraver.herokuapp.com/img/affirmations/affirmations_32.jpg,affirmations,affirmations_32,3.99,InStock,0.25,TRUE,,,,,,,,,,,,
affirmations_33,Product,I inspire those ,"Laser engraving on a 10cm x 15cm (4"" x 6"") piece of wood.",https://iandouglasllc-engraver.herokuapp.com/img/affirmations/affirmations_33.jpg,affirmations,affirmations_33,3.99,InStock,0.25,TRUE,,,,,,,,,,,,
affirmations_34,Product,I invite gratitude ,"Laser engraving on a 10cm x 15cm (4"" x 6"") piece of wood.",https://iandouglasllc-engraver.herokuapp.com/img/affirmations/affirmations_34.jpg,affirmations,affirmations_34,3.99,InStock,0.25,TRUE,,,,,,,,,,,,
affirmations_35,Product,I love and approve,"Laser engraving on a 10cm x 15cm (4"" x 6"") piece of wood.",https://iandouglasllc-engraver.herokuapp.com/img/affirmations/affirmations_35.jpg,affirmations,affirmations_35,3.99,InStock,0.25,TRUE,,,,,,,,,,,,
affirmations_36,Product,I love myself and bl,"Laser engraving on a 10cm x 15cm (4"" x 6"") piece of wood.",https://iandouglasllc-engraver.herokuapp.com/img/affirmations/affirmations_36.jpg,affirmations,affirmations_36,3.99,InStock,0.25,TRUE,,,,,,,,,,,,
affirmations_37,Product,I radiate happiness,"Laser engraving on a 10cm x 15cm (4"" x 6"") piece of wood.",https://iandouglasllc-engraver.herokuapp.com/img/affirmations/affirmations_37.jpg,affirmations,affirmations_37,3.99,InStock,0.25,TRUE,,,,,,,,,,,,
affirmations_38,Product,I radiate joy ,"Laser engraving on a 10cm x 15cm (4"" x 6"") piece of wood.",https://iandouglasllc-engraver.herokuapp.com/img/affirmations/affirmations_38.jpg,affirmations,affirmations_38,3.99,InStock,0.25,TRUE,,,,,,,,,,,,
affirmations_39,Product,I release doubt ,"Laser engraving on a 10cm x 15cm (4"" x 6"") piece of wood.",https://iandouglasllc-engraver.herokuapp.com/img/affirmations/affirmations_39.jpg,affirmations,affirmations_39,3.99,InStock,0.25,TRUE,,,,,,,,,,,,
affirmations_40,Product,I release the need bl,"Laser engraving on a 10cm x 15cm (4"" x 6"") piece of wood.",https://iandouglasllc-engraver.herokuapp.com/img/affirmations/affirmations_40.jpg,affirmations,affirmations_40,3.99,InStock,0.25,TRUE,,,,,,,,,,,,
affirmations_41,Product,I surrender control ,"Laser engraving on a 10cm x 15cm (4"" x 6"") piece of wood.",https://iandouglasllc-engraver.herokuapp.com/img/affirmations/affirmations_41.jpg,affirmations,affirmations_41,3.99,InStock,0.25,TRUE,,,,,,,,,,,,
affirmations_42,Product,I surrender to the bl,"Laser engraving on a 10cm x 15cm (4"" x 6"") piece of wood.",https://iandouglasllc-engraver.herokuapp.com/img/affirmations/affirmations_42.jpg,affirmations,affirmations_42,3.99,InStock,0.25,TRUE,,,,,,,,,,,,
affirmations_43,Product,I trust in the good ,"Laser engraving on a 10cm x 15cm (4"" x 6"") piece of wood.",https://iandouglasllc-engraver.herokuapp.com/img/affirmations/affirmations_43.jpg,affirmations,affirmations_43,3.99,InStock,0.25,TRUE,,,,,,,,,,,,
affirmations_44,Product,My life is abundant ,"Laser engraving on a 10cm x 15cm (4"" x 6"") piece of wood.",https://iandouglasllc-engraver.herokuapp.com/img/affirmations/affirmations_44.jpg,affirmations,affirmations_44,3.99,InStock,0.25,TRUE,,,,,,,,,,,,
affirmations_45,Product,Prosperity flows ,"Laser engraving on a 10cm x 15cm (4"" x 6"") piece of wood.",https://iandouglasllc-engraver.herokuapp.com/img/affirmations/affirmations_45.jpg,affirmations,affirmations_45,3.99,InStock,0.25,TRUE,,,,,,,,,,,,
affirmations_46,Product,The universe guides ,"Laser engraving on a 10cm x 15cm (4"" x 6"") piece of wood.",https://iandouglasllc-engraver.herokuapp.com/img/affirmations/affirmations_46.jpg,affirmations,affirmations_46,3.99,InStock,0.25,TRUE,,,,,,,,,,,,
affirmations_47,Product,Today I focus on ,"Laser engraving on a 10cm x 15cm (4"" x 6"") piece of wood.",https://iandouglasllc-engraver.herokuapp.com/img/affirmations/affirmations_47.jpg,affirmations,affirmations_47,3.99,InStock,0.25,TRUE,,,,,,,,,,,,
affirmations_48,Product,With my positive ,"Laser engraving on a 10cm x 15cm (4"" x 6"") piece of wood.",https://iandouglasllc-engraver.herokuapp.com/img/affirmations/affirmations_48.jpg,affirmations,affirmations_48,3.99,InStock,0.25,TRUE,,,,,,,,,,,,
autism_1,Product,Always Unique,"Laser engraving on a 10cm x 15cm (4"" x 6"") piece of wood.",https://iandouglasllc-engraver.herokuapp.com/img/autism/autism_1.jpg,autism,autism_1,3.99,InStock,0.25,TRUE,,,,,,,,,,,,
autism_2,Product,Autism Awareness,"Laser engraving on a 10cm x 15cm (4"" x 6"") piece of wood.",https://iandouglasllc-engraver.herokuapp.com/img/autism/autism_2.jpg,autism,autism_2,3.99,InStock,0.25,TRUE,,,,,,,,,,,,
autism_3,Product,Autism Same Road,"Laser engraving on a 10cm x 15cm (4"" x 6"") piece of wood.",https://iandouglasllc-engraver.herokuapp.com/img/autism/autism_3.jpg,autism,autism_3,3.99,InStock,0.25,TRUE,,,,,,,,,,,,
autism_4,Product,Autism Seeing the World Differently,"Laser engraving on a 10cm x 15cm (4"" x 6"") piece of wood.",https://iandouglasllc-engraver.herokuapp.com/img/autism/autism_4.jpg,autism,autism_4,3.99,InStock,0.25,TRUE,,,,,,,,,,,,
autism_5,Product,Autism doesnt end in april,"Laser engraving on a 10cm x 15cm (4"" x 6"") piece of wood.",https://iandouglasllc-engraver.herokuapp.com/img/autism/autism_5.jpg,autism,autism_5,3.99,InStock,0.25,TRUE,,,,,,,,,,,,
autism_6,Product,Autism doesnt with a manual,"Laser engraving on a 10cm x 15cm (4"" x 6"") piece of wood.",https://iandouglasllc-engraver.herokuapp.com/img/autism/autism_6.jpg,autism,autism_6,3.99,InStock,0.25,TRUE,,,,,,,,,,,,
autism_7,Product,Autism is proof,"Laser engraving on a 10cm x 15cm (4"" x 6"") piece of wood.",https://iandouglasllc-engraver.herokuapp.com/img/autism/autism_7.jpg,autism,autism_7,3.99,InStock,0.25,TRUE,,,,,,,,,,,,
autism_8,Product,I See Your True Colors,"Laser engraving on a 10cm x 15cm (4"" x 6"") piece of wood.",https://iandouglasllc-engraver.herokuapp.com/img/autism/autism_8.jpg,autism,autism_8,3.99,InStock,0.25,TRUE,,,,,,,,,,,,
